[08-Feb-2022 11:10:08 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:10:08 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:11:23 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 14:14:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 14:16:03 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:16:03 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:16:03 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 14:18:20 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\vendor\swiftmailer\swiftmailer\lib\classes\Swift\Transport\StreamBuffer.php on line 263
[08-Feb-2022 11:18:20 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
[08-Feb-2022 11:18:20 America/Santiago] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\SERVER\www\APACHE\ssalud\anticipos\app\helpers.php on line 4
